eform_target,SLICES,eform_DFT,poscar,novelty
-1.0,Hg Hg Hg Hg Hg Hg Se Se Se Se F F F F 0 6 o-- 0 7 +oo 0 8 ooo 0 12 oo- 0 10 +oo 0 13 oo- 1 7 -oo 1 9 o+o 1 6 ooo 1 9 ooo 1 13 -o- 1 10 o+o 2 9 oo- 2 6 ooo 2 7 ooo 2 13 ooo 2 10 ooo 2 8 ooo 3 8 oo+ 3 6 ooo 3 12 o-o 3 7 oo+ 4 9 +oo 4 13 o-- 4 11 o-o 4 11 ooo 5 12 -oo 5 8 ooo 5 12 ooo 5 11 o++,-0.7787142770810712,Hg6 Se4 F4                              \n   1.00000000000000     \n     4.3262586749497380    0.2908373359528884   -0.4377919622470526\n    -1.4374048544191107    6.3880153835741895    0.1728998833786194\n    -3.7402147136129491   -2.5734624791233109   13.3444000299761054\n   Hg   Se   F \n     6     4     4\nDirect\n  0.5684835563506846  0.2435146554097028  0.7929565764812172\n  0.2557081505102603  0.7150396623480674  0.0046861966820492\n  0.7956537607202988  0.1226527163054377  0.5679865981744291\n  0.8447576192815008  0.9080989415847186  0.8628452477533231\n  0.3505261397024822  0.5998272269023182  0.5672475577808567\n  0.9630938243290541  0.8803288523829120  0.3118431146064150\n  0.5009048493224940  0.0501279275858880  0.2061053831315845\n  0.6568746698552148  0.4381610513537769  0.0319711115271242\n  0.8658743219280741  0.3682757623280157  0.2030696168639371\n  0.7076600033665480  0.4261101339353589  0.4762600344953368\n  0.8383489768529224  0.8863934533461240  0.6650820536157128\n  0.3904926119788857  0.7314816404870749  0.3539245757236708\n  0.1713384957514779  0.9413337621159309  0.5025301969444820\n  0.4424443274536646  0.5613691098108047  0.7454494387775288\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-1.0,Tl Tl Pb Pb Se Se Br Br Br Br 0 6 o+o 0 7 +oo 0 8 oo+ 0 5 +oo 0 4 oo+ 0 4 o+o 1 5 oo- 1 6 -oo 1 7 o-o 1 4 oo- 1 9 -oo 1 9 o-o 2 8 ooo 2 7 ooo 2 6 ooo 2 5 ooo 2 4 ooo 2 5 o-o 3 9 o-- 3 4 -oo 3 8 -o- 3 7 o-o 3 6 --o 3 5 oo-,-0.6233365987187498,Tl2 Pb2 Se2 Br4                         \n   1.00000000000000     \n     6.3480348800007933   -0.0794714917511428    0.0905057243411784\n    -2.6409641865606672    7.8393962403784574   -0.1678239278549872\n    -0.1036763939300653   -3.1760207113822139    8.3220411750938119\n   Tl   Pb   Se   Br\n     2     2     2     4\nDirect\n  0.0663824916408458  0.8887890877724048  0.9917382500519998\n  0.4007223953241983  0.4963391089256828  0.1387268195866406\n  0.4035541846723761  0.6035042630158262  0.6593542943860946\n  0.0785758975102442  0.9283508334367241  0.4617726552050421\n  0.1545300315798008  0.1574778046804416  0.2638482159867613\n  0.9702969258610732  0.6722557640998027  0.6934200775211762\n  0.5583759967097263  0.8843057808923780  0.4830295481746701\n  0.9458294851682189  0.5957784632654359  0.1355103811174831\n  0.5496502441971897  0.8635313506534443  0.9799771007748135\n  0.2386539545437458  0.2719796868835462  0.7576695696100549\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-1.0,Ca Ca Ca Ca Bi Bi 0 5 o++ 0 5 +o+ 0 5 oo+ 0 4 o+o 0 4 +oo 0 4 ++o 1 4 -oo 1 5 oo- 1 5 o-o 1 5 ooo 1 3 o-o 1 3 -oo 2 4 ++o 2 4 o+o 2 4 +oo 2 3 o++ 2 3 +o+ 2 3 ooo,-0.5426018616666669,Ca4 Bi2                                 \n   1.00000000000000     \n    -6.5472024347329718   -0.0122154024111940    0.0469431255599771\n     2.3156499034268676   -6.1293087699687723   -0.0325037033961188\n     2.3774881296523529    2.9093981921687804    5.4251895988707988\n   Ca   Bi\n     4     2\nDirect\n  0.8818309811894260  0.9646856147959921  0.9468459103660011\n  0.2530209829451184  0.8412796441739200  0.4512593490137948\n  0.2535736660742818  0.4774207929922362  0.8319332802973822\n  0.6278152353481536  0.3453289661002305  0.3283930547553559\n  0.7497132437995856  0.4031833018730212  0.8895508465470955\n  0.7562635038808146  0.9097912685092460  0.3891458383877691\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-2.0,Sr Sr Pr Pr Pr Pr N N N N Cl Cl 0 10 oo- 0 10 +oo 0 11 o+o 0 11 oo- 0 6 +oo 0 6 ++o 0 8 oo- 0 8 ooo 0 8 oo- 1 11 ooo 1 7 -oo 1 7 oo+ 1 7 o-o 1 7 ooo 1 11 oo+ 1 6 ooo 1 9 ooo 2 11 ooo 2 10 ooo 2 10 o-- 2 9 --- 2 8 o-o 2 6 ooo 2 9 -o- 2 7 -o- 2 8 o-o 3 9 ooo 3 6 ooo 3 6 ++o 3 7 oo- 3 8 oo- 3 9 +oo 4 11 oo- 4 9 ooo 4 10 o-- 4 8 ooo 4 10 ooo 4 11 ooo 5 7 ooo 5 6 -oo 5 10 ooo 5 9 o++ 5 7 ooo 5 6 oo+,-1.452720523836667,Sr2 Pr4 N4 Cl2                          \n   1.00000000000000     \n     3.7466745108234281    0.0172991682690095   -0.2040982341071227\n    -1.6404066096683456    6.7213792670597119    0.8393016750950678\n    -1.3819710903331384   -1.1868764678292349   12.2014204918638942\n   Sr   Pr   N    Cl\n     2     4     4     2\nDirect\n  0.9442334411216134  0.9428147670908761  0.8574551514815919\n  0.0192772602285137  0.3289685056058393  0.6870537698558441\n  0.8524410157696658  0.3590257840820505  0.3618360377359141\n  0.7690725592251290  0.9384509985537730  0.1973458672896771\n  0.2863981169734059  0.9652565736004733  0.5548799945262108\n  0.2619933725357996  0.4535815824538206  0.1087679588795604\n  0.8420522498263109  0.1493881792130220  0.5105939359205067\n  0.4366379093381633  0.0820188731599141  0.7327790939551531\n  0.2419164691807084  0.2156142128650385  0.2625597434362725\n  0.8781847054748176  0.6198939481608189  0.1839577376790827\n  0.2997768618781640  0.5929702273089172  0.8783165231648397\n  0.5838699239483044  0.5992616716256284  0.5366858792423209\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-2.0,Mn Mn Mn O O O O O 0 5 -o- 0 5 ooo 0 6 o-o 0 6 --o 0 4 ooo 0 4 o-- 1 7 ooo 1 7 ooo 1 6 ooo 1 5 ooo 1 4 ooo 1 4 oo+ 2 6 oo- 2 6 ooo 2 4 o-o 2 5 ooo 2 7 oo- 2 7 o-o 3 7 +oo 3 7 ooo 3 5 ooo 3 5 +oo 3 4 ooo 3 6 o-o,-1.8076228136412489,Mn3 O5                                  \n   1.00000000000000     \n     2.9377449752988491   -0.0890115132108412    0.0955217571476556\n     0.1618740659747896    4.9393897296386502   -0.1001045101952822\n     1.2117305294566052    0.9110223289645833    7.0976891137089524\n   Mn   O \n     3     5\nDirect\n  0.2621356860900009  0.1213270800554988  0.8981435369544158\n  0.9041654252918015  0.6853167089719372  0.6050632524260983\n  0.6279312067604688  0.5699034825976425  0.1723855990487758\n  0.6968012048862170  0.9351517423789016  0.0354805140763574\n  0.3471467033433726  0.8584614184842702  0.7229232865944949\n  0.1666154376320384  0.3707119210825818  0.0921727845907043\n  0.8205818935238665  0.3105653376994630  0.7764141062971056\n  0.4826796433518865  0.5997343143341177  0.4411863784815488\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-3.0,Si Si Si Si Bi Bi O O O O O O O O O O 0 6 oo- 0 15 -oo 0 14 -o- 0 7 ooo 1 13 oo+ 1 8 o+o 1 11 ooo 1 6 ooo 2 10 ooo 2 7 ooo 2 11 ooo 2 10 ooo 3 9 ooo 3 8 ooo 3 12 -oo 3 13 ooo 4 12 o+o 4 7 ooo 4 9 ooo 4 6 ooo 5 15 +oo 5 8 o-o 5 14 +oo 5 9 o-o,-2.5604147720312485,Si4 Bi2 O10                             \n   1.00000000000000     \n     4.9913290552742149   -0.4956438036917180    0.1046929406288712\n    -1.6493199343713902    6.7416393884942156    0.3168880844181008\n    -2.1995103647818630   -0.0428661692257701    8.5504167104063225\n   Si   Bi   O \n     4     2    10\nDirect\n  0.8439533067546923  0.0433542260079754  0.9703916489638869\n  0.5092670777628344  0.6907247969584486  0.1373207101212624\n  0.4632667892891670  0.3361281237491424  0.9614271000281894\n  0.5554168184186408  0.8130928388891298  0.4669715630802169\n  0.1176010403833551  0.1204263495121712  0.3414245216571842\n  0.2827245772134641  0.7167872563448811  0.7342911938442447\n  0.2657857070636320  0.7281272021748111  0.9984470697651179\n  0.1904969962150642  0.1628974002994553  0.0235087868147442\n  0.7333152239056789  0.9012490625365145  0.8222069239198392\n  0.9211022842616041  0.8924367509372413  0.4959440743513408\n  0.3628768734368213  0.4273748526377258  0.7904366598221290\n  0.6124254356402425  0.4987655451404621  0.1041065156278198\n  0.4887795692934306  0.0322885874625833  0.3882890533403429\n  0.4480228427942797  0.6541901645377439  0.3146719483917548\n  0.8047398595476398  0.9092416166873405  0.1418407084382529\n  0.6933722000134279  0.2198096991993465  0.9562926587966903\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-3.0,Cs Cs K Ga F F F F F F 0 4 o+o 0 4 oo+ 0 5 o+o 0 5 +oo 0 8 ooo 0 8 o+o 0 7 +oo 0 7 oo+ 0 9 oo+ 0 9 ooo 0 6 +oo 0 6 ooo 1 8 oo- 1 8 -oo 1 6 o-o 1 6 oo- 1 9 -oo 1 9 o-o 1 7 ooo 1 7 o-o 1 4 ooo 1 4 -oo 1 5 ooo 1 5 oo- 2 8 ooo 2 6 ooo 2 7 ooo 2 5 ooo 2 9 ooo 2 4 ooo 3 4 -oo 3 5 oo- 3 8 -o- 3 6 o-- 3 7 o-o 3 9 --o,-3.1030057387139998,Cs2 K1 Ga1 F6                           \n   1.00000000000000     \n     4.5827141549997457    4.5810306538462866    0.0037785249454378\n     4.5827184919779835   -4.5810350028410349   -0.0037590087948168\n    -0.0000075840395789   -4.5713080813613578   -4.5814392531929951\n   Cs   K    Ga   F \n     2     1     1     6\nDirect\n  0.9989440476778322  0.5002799517080092  0.9966686861193922\n  0.4997217322740728  0.0010552975002582  0.9966699418015736\n  0.7473416454699854  0.2526506195880939  0.4929745063533092\n  0.2486929101442079  0.7513072671198248  0.4954440518144339\n  0.0366073033597910  0.9633924926645639  0.4954809884469071\n  0.4606048988303943  0.5393964820737694  0.9195902673598346\n  0.4604264950208689  0.5395756820095421  0.4946439111879792\n  0.4606528388911273  0.9635958724680944  0.4950494802305728\n  0.0363989348642729  0.5393533753852831  0.4950392240474523\n  0.0368544402572540  0.9631477126927545  0.0712313001149851\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,0
-4.0,Lu Lu Lu Lu O O O O O O 0 6 o+o 0 6 ooo 0 5 oo+ 0 5 +oo 0 4 oo+ 0 4 o+o 0 9 +oo 0 9 ooo 0 7 +oo 0 7 o+o 0 8 oo+ 0 8 ooo 1 5 o-o 1 5 oo- 1 9 oo- 1 9 -oo 1 6 o-o 1 6 oo- 1 4 ooo 1 4 -oo 1 8 o-o 1 8 -oo 1 7 ooo 1 7 o-o 2 5 o-- 2 6 -o- 2 9 oo- 2 8 --o 2 4 -oo 2 7 o-o 3 7 ooo 3 8 ooo 3 4 ooo 3 5 ooo 3 6 ooo 3 9 ooo,-4.04943427175,Lu4 O6                                  \n   1.00000000000000     \n     5.5791114203092889    0.0082117707296279   -0.0064892591275994\n    -0.1942821910160579    5.5778569295395455   -0.0078062751179452\n    -2.6246732345028394   -2.7231494723389580    4.4563689539675053\n   Lu   O \n     4     6\nDirect\n  0.8706838499067260  0.2943878046503202  0.1156786482244934\n  0.5685597411822935  0.5966934524652949  0.6156144824062010\n  0.1889117707756584  0.2170180372016078  0.7413053592469254\n  0.4913102961507098  0.9148113441911025  0.2414360797579178\n  0.2390461875481383  0.1747561203890211  0.3716235886735281\n  0.2402032304879227  0.5458389909365061  0.1791591478694117\n  0.4511143565364213  0.9666439094461284  0.8732423323827661\n  0.8200952112145610  0.3359992382233151  0.4853912341171442\n  0.8203221238970392  0.9651391317482968  0.6780786514141567\n  0.6090381557989845  0.5452073502481575  0.9837194314523925\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-4.0,Y Y Al Al O O O O O O 0 5 oo- 0 5 o-- 0 4 o-o 0 4 ooo 0 9 oo- 0 8 ooo 0 7 ooo 0 6 +-o 1 8 +oo 1 6 ooo 1 7 +oo 1 9 ooo 1 4 ooo 1 4 +oo 1 5 ooo 1 5 +oo 2 7 o-o 2 7 +-o 2 4 o-o 2 5 ooo 2 9 ooo 2 6 ooo 3 6 +o+ 3 6 oo+ 3 4 ooo 3 7 +o+ 3 8 +oo 3 9 +oo,-3.6744371532500013,Y2 Al2 O6                               \n   1.00000000000000     \n     3.5658007131661607   -0.3555143406461466    0.0676967956214709\n    -0.5663522336258029   -5.6465363048028578   -0.2743713648317889\n    -1.6705890521948739    0.0832626276473131   -6.3917449700842521\n   Y    Al   O \n     2     2     6\nDirect\n  0.0497900638975750  0.1126663643783491  0.0165919455414249\n  0.3259276226591958  0.3457101873733552  0.5682403617336161\n  0.7582897741384020  0.9064427458128896  0.4329601182354256\n  0.6174949686343577  0.5517989193922685  0.1522077049725187\n  0.7803300737578689  0.5921399208883619  0.4765450101427713\n  0.1422092945791812  0.4548816512514000  0.2023330541153079\n  0.5037374837465943  0.3642662595542710  0.9244803625956299\n  0.5959055527944137  0.8661825704657795  0.1083912048311173\n  0.8718804067668157  0.0945396516333993  0.6604240009366420\n  0.2337334835589450  0.0027985454813686  0.3829291394077258\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
-4.0,Sm Sm Sm Sm Tm Tm Tm Tm O O O O O O O O O O O O 0 18 +-o 0 12 o-o 0 10 o-o 0 10 ooo 0 9 +oo 0 16 ooo 0 14 +o- 0 17 +oo 1 13 ooo 1 15 ooo 1 11 ooo 1 19 ooo 1 8 ooo 1 14 ooo 1 15 ooo 1 12 oo+ 2 11 ooo 2 14 ooo 2 16 ooo 2 13 ooo 2 12 ooo 2 19 ooo 2 17 ooo 2 18 oo- 3 9 -+o 3 8 o+o 3 15 -oo 3 13 ooo 3 18 ooo 3 19 ooo 3 17 -oo 3 16 -o+ 4 9 o-o 4 15 ooo 4 11 ooo 4 8 ooo 4 19 o-o 4 14 ooo 5 10 oo- 5 14 -oo 5 18 -oo 5 15 -o- 5 13 oo- 5 12 ooo 6 17 o-o 6 11 -oo 6 8 ooo 6 9 o-o 6 12 o-o 6 16 -oo 7 8 oo- 7 9 ooo 7 10 oo- 7 13 ooo 7 16 ooo 7 17 oo-,-3.8667361212499998,Sm4 Tm4 O12                             \n   1.00000000000000     \n     3.9825471476432641   -0.0207508413644284    0.0506534347199176\n    -1.9546323012692268    6.0894385105731192   -0.0620217992988792\n    -0.2083642023071537   -2.3235278621604918   14.0972435881708265\n   Sm   Tm   O \n     4     4    12\nDirect\n  0.8441782466048885  0.0085881682168935  0.8320876485204624\n  0.5678759481358548  0.4840121966302244  0.2238822155730185\n  0.6299902919958146  0.5923379813556310  0.5285457043750280\n  0.2855962840189152  0.9160117323989102  0.3800655662679131\n  0.1094321154810674  0.5441839369194799  0.7712703254754684\n  0.4017921161301599  0.1252167362128599  0.6345680202668014\n  0.2868755242258600  0.9244183739172396  0.1320110170376132\n  0.5738150199599404  0.4740941340182742  0.9775373287093196\n  0.2965771197400549  0.9134748663031468  0.7669252524669317\n  0.2232052401865494  0.7823234025398192  0.5418035876980177\n  0.0256413556292551  0.3735494313467604  0.9107359415270221\n  0.9295320106260632  0.1809180823164475  0.6983711170057870\n  0.1563064612235062  0.6582422748608778  0.2263163396842810\n  0.7077011891889522  0.7615763403863645  0.0884799506784485\n  0.6724697945088838  0.6623428329089958  0.8619434259220745\n  0.4522277492192585  0.2351088153302768  0.0745858857490109\n  0.4576449656131575  0.2248302032801282  0.4950451264721430\n  0.3791886030908070  0.1390520702103435  0.2642803936422595\n  0.5873160015536715  0.5016260179433240  0.6787676522913212\n  0.6907406646666850  0.7254366777531622  0.3796902134260389\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,1
